Date,Open,High,Low,Close,Adj Close,Volume
2017-05-31,10.790000,10.790000,10.790000,10.790000,10.608795,0
2017-06-01,10.790000,10.790000,10.790000,10.790000,10.608795,0
2017-06-02,10.820000,10.820000,10.820000,10.820000,10.638291,0
2017-06-05,10.810000,10.810000,10.810000,10.810000,10.628459,0
2017-06-06,10.830000,10.830000,10.830000,10.830000,10.648122,0
2017-06-07,10.810000,10.810000,10.810000,10.810000,10.628459,0
2017-06-08,10.800000,10.800000,10.800000,10.800000,10.618626,0
2017-06-09,10.790000,10.790000,10.790000,10.790000,10.608795,0
2017-06-12,10.790000,10.790000,10.790000,10.790000,10.608795,0
2017-06-13,10.790000,10.790000,10.790000,10.790000,10.608795,0
2017-06-14,10.830000,10.830000,10.830000,10.830000,10.648122,0
2017-06-15,10.820000,10.820000,10.820000,10.820000,10.638291,0
2017-06-16,10.820000,10.820000,10.820000,10.820000,10.638291,0
2017-06-19,10.810000,10.810000,10.810000,10.810000,10.628459,0
2017-06-20,10.830000,10.830000,10.830000,10.830000,10.648122,0
2017-06-21,10.830000,10.830000,10.830000,10.830000,10.648122,0
2017-06-22,10.830000,10.830000,10.830000,10.830000,10.648122,0
2017-06-23,10.840000,10.840000,10.840000,10.840000,10.657956,0
2017-06-26,10.840000,10.840000,10.840000,10.840000,10.657956,0
2017-06-27,10.810000,10.810000,10.810000,10.810000,10.628459,0
2017-06-28,10.810000,10.810000,10.810000,10.810000,10.628459,0
2017-06-29,10.780000,10.780000,10.780000,10.780000,10.598963,0
2017-06-30,10.770000,10.770000,10.770000,10.770000,10.610785,0
2017-07-03,10.750000,10.750000,10.750000,10.750000,10.591082,0
2017-07-05,10.750000,10.750000,10.750000,10.750000,10.591082,0
2017-07-06,10.740000,10.740000,10.740000,10.740000,10.581229,0
2017-07-07,10.730000,10.730000,10.730000,10.730000,10.571376,0
2017-07-10,10.730000,10.730000,10.730000,10.730000,10.571376,0
2017-07-11,10.740000,10.740000,10.740000,10.740000,10.581229,0
2017-07-12,10.770000,10.770000,10.770000,10.770000,10.610785,0
2017-07-13,10.750000,10.750000,10.750000,10.750000,10.591082,0
2017-07-14,10.760000,10.760000,10.760000,10.760000,10.600933,0
2017-07-17,10.770000,10.770000,10.770000,10.770000,10.610785,0
2017-07-18,10.800000,10.800000,10.800000,10.800000,10.640341,0
2017-07-19,10.800000,10.800000,10.800000,10.800000,10.640341,0
2017-07-20,10.800000,10.800000,10.800000,10.800000,10.640341,0
2017-07-21,10.820000,10.820000,10.820000,10.820000,10.660046,0
2017-07-24,10.810000,10.810000,10.810000,10.810000,10.650195,0
2017-07-25,10.770000,10.770000,10.770000,10.770000,10.610785,0
2017-07-26,10.790000,10.790000,10.790000,10.790000,10.630489,0
2017-07-27,10.780000,10.780000,10.780000,10.780000,10.620638,0
2017-07-28,10.790000,10.790000,10.790000,10.790000,10.630489,0
2017-07-31,10.790000,10.790000,10.790000,10.790000,10.652208,0
2017-08-01,10.820000,10.820000,10.820000,10.820000,10.681825,0
2017-08-02,10.810000,10.810000,10.810000,10.810000,10.671954,0
2017-08-03,10.830000,10.830000,10.830000,10.830000,10.691697,0
2017-08-04,10.810000,10.810000,10.810000,10.810000,10.671954,0
2017-08-07,10.810000,10.810000,10.810000,10.810000,10.671954,0
2017-08-08,10.800000,10.800000,10.800000,10.800000,10.662081,0
2017-08-09,10.810000,10.810000,10.810000,10.810000,10.671954,0
2017-08-10,10.820000,10.820000,10.820000,10.820000,10.681825,0
